"Date","Price","Open","High","Low","Change %"
"11/10/2013","10.950","10.970","10.970","10.950","-0.18%"
"11/08/2013","10.970","10.970","10.970","10.970","0.00%"
"11/07/2013","10.970","10.970","10.970","10.970","0.00%"
"11/06/2013","10.970","10.970","10.970","10.970","0.99%"
"11/05/2013","10.862","10.862","10.862","10.862","0.00%"
"11/04/2013","10.862","10.862","10.862","10.862","0.00%"
"11/03/2013","10.862","10.862","10.862","10.862","0.00%"
"11/01/2013","10.862","10.862","10.862","10.862","-0.35%"
"10/31/2013","10.900","10.900","10.900","10.900","0.35%"
"10/30/2013","10.862","10.862","10.862","10.862","0.11%"
"10/29/2013","10.850","10.850","10.850","10.850","0.93%"
"10/28/2013","10.750","10.750","10.750","10.750","0.00%"
"10/27/2013","10.750","10.750","10.850","10.750","0.00%"
"10/26/2013","10.750","10.750","10.750","10.750","0.00%"
"10/25/2013","10.750","10.750","10.750","10.750","0.00%"
"10/24/2013","10.750","10.750","10.750","10.750","0.00%"
"10/23/2013","10.750","10.750","10.750","10.750","-0.19%"
"10/22/2013","10.770","10.770","10.770","10.770","0.00%"
"10/21/2013","10.770","10.770","10.770","10.770","-3.23%"
"10/18/2013","11.130","11.130","11.130","11.130","0.00%"
"10/17/2013","11.130","11.130","11.130","11.130","0.00%"
"10/16/2013","11.130","11.130","11.130","11.130","0.00%"
"10/15/2013","11.130","11.130","11.130","11.130","0.00%"
"10/14/2013","11.130","11.130","11.130","11.130","0.00%"
"10/11/2013","11.130","11.130","11.130","11.130","0.00%"
"10/10/2013","11.130","11.130","11.130","11.130","0.00%"
"10/09/2013","11.130","11.130","11.130","11.130","-0.18%"
"10/08/2013","11.150","11.150","11.150","11.150","0.18%"
"10/07/2013","11.130","11.130","11.130","11.130","0.00%"
"10/04/2013","11.130","11.130","11.130","11.130","0.00%"
"10/03/2013","11.130","11.130","11.130","11.130","0.00%"
"10/02/2013","11.130","11.130","11.130","11.130","-4.13%"
"10/01/2013","11.610","11.610","11.610","11.610","0.00%"
"09/30/2013","11.610","11.610","11.610","11.610","4.13%"
"09/29/2013","11.150","11.150","11.150","11.150","0.00%"
"09/27/2013","11.150","11.150","11.150","11.150","0.00%"
"09/26/2013","11.150","11.150","11.150","11.150","-3.04%"
"09/25/2013","11.500","11.500","11.500","11.500","0.00%"
"09/24/2013","11.500","11.500","11.500","11.500","0.00%"
"09/23/2013","11.500","11.500","11.500","11.500","0.00%"
"09/22/2013","11.500","11.500","11.500","11.500","0.00%"
"09/20/2013","11.500","11.500","11.500","11.500","0.00%"
"09/19/2013","11.500","11.500","11.500","11.500","0.00%"
"09/18/2013","11.500","11.500","11.500","11.500","-0.48%"
"09/17/2013","11.555","11.555","11.555","11.555","0.00%"
"09/16/2013","11.555","11.555","11.555","11.555","0.00%"
"09/15/2013","11.555","11.555","11.555","11.555","0.00%"
"09/13/2013","11.555","11.555","11.555","11.555","0.00%"
"09/12/2013","11.555","11.555","11.555","11.555","0.00%"
"09/11/2013","11.555","11.555","11.555","11.555","0.00%"
"09/10/2013","11.555","11.555","11.555","11.555","0.00%"
"09/09/2013","11.555","11.555","11.555","11.555","0.00%"
"09/08/2013","11.555","11.555","11.555","11.555","0.00%"
"09/07/2013","11.555","11.555","11.555","11.555","0.00%"
"09/06/2013","11.555","11.555","11.555","11.555","0.00%"
"09/05/2013","11.555","11.555","11.555","11.555","0.00%"
"09/04/2013","11.555","11.555","11.555","11.555","-3.23%"
"09/03/2013","11.941","11.941","11.941","11.941","0.00%"
"09/02/2013","11.941","11.941","11.941","11.941","1.19%"
"09/01/2013","11.800","11.941","11.941","11.800","-1.18%"
"08/30/2013","11.941","11.941","11.941","11.941","0.00%"
"08/29/2013","11.941","11.941","11.941","11.941","2.06%"
"08/28/2013","11.700","11.700","11.700","11.700","-3.55%"
"08/27/2013","12.131","12.131","12.131","12.131","4.58%"
"08/26/2013","11.600","11.600","11.600","11.600","1.22%"
"08/25/2013","11.460","11.600","11.600","11.460","-9.44%"
"08/23/2013","12.655","12.655","12.655","12.655","0.00%"
"08/22/2013","12.655","12.655","12.655","12.655","0.00%"
"08/21/2013","12.655","12.655","12.655","12.655","0.00%"
"08/20/2013","12.655","12.655","12.655","12.655","0.00%"
"08/19/2013","12.655","12.655","12.655","12.655","0.00%"
"08/16/2013","12.655","12.655","12.655","12.655","0.00%"
"08/15/2013","12.655","12.655","12.655","12.655","0.00%"
"08/14/2013","12.655","12.655","12.655","12.655","0.00%"
"08/13/2013","12.655","12.655","12.655","12.655","0.00%"
"08/12/2013","12.655","12.655","12.655","12.655","0.00%"
"08/11/2013","12.655","12.655","12.655","12.655","0.00%"
"08/10/2013","12.655","12.655","12.655","12.655","0.00%"
"08/09/2013","12.655","12.655","12.655","12.655","0.00%"
"08/08/2013","12.655","12.655","12.655","12.655","0.00%"
"08/07/2013","12.655","12.655","12.655","12.655","0.00%"
"08/06/2013","12.655","12.655","12.655","12.655","0.00%"
"08/05/2013","12.655","12.655","12.655","12.655","0.00%"
"08/02/2013","12.655","12.655","12.655","12.655","0.44%"
"08/01/2013","12.600","12.600","12.600","12.600","0.00%"
"07/31/2013","12.600","12.600","12.600","12.600","0.00%"
"07/30/2013","12.600","12.600","12.600","12.600","0.00%"
"07/29/2013","12.600","12.600","12.600","12.600","-1.18%"
"07/28/2013","12.750","12.750","12.750","12.750","0.75%"
"07/26/2013","12.655","12.655","12.655","12.655","-3.03%"
"07/25/2013","13.050","13.050","13.050","13.050","0.38%"
"07/24/2013","13.000","13.000","13.000","13.000","-1.14%"
"07/23/2013","13.150","12.727","13.150","12.727","3.32%"
"07/22/2013","12.727","12.727","12.727","12.727","-1.61%"
"07/19/2013","12.935","12.935","12.935","12.935","-1.63%"
"07/18/2013","13.150","13.150","13.150","13.150","1.66%"
